company_name,product_name,extract_name,dmf_no,dmf_status,dmf_submit_date,dmf_country,cep_certificate_number,cep_issue_date,cep_status,cep_end_date,cep_type,written_confirmation_no,wc_issue_date,valid_till,product_name_wc
SANOFI SYNTHELABO INC,TICLOPIDINE HYDROCHLORIDE,TICLOPIDINE HYDROCHLORIDE,9638,InActive,09/04/1992,France,,,,,,,,,
IRISH FINE CHEMICALS LTD,DESIPRAMINE HYDROCHLORIDE,DESIPRAMINE HCL,6643,InActive,21/10/1986,Gabon,,,,,,,,,
HAUSER CHEMICAL RESEARCH INC,EPIGALLOCATECHIN GALLATE (EGCG),epigallocatechin gallate,16985,InActive,26/11/2003,Gabon,,,,,,,,,
FINORGA SAS,6-BENZYL-1-ETHOXYMETHYL-5-ISOPROPYLURACIL,6-BENZYL-1-ETHOXYMETHYL-5-ISOPROPYLURACIL,12622,InActive,14/08/1997,France,,,,,,,,,
FBA PHARMACEUTICALS INC DIV BAYCHEM CORP,CHLOROQUINE DIPHOSPHATE,CHLOROQUINE DIPHOSPHATE,3916,InActive,21/07/1980,Gabon,,,,,,,,,
BLASCHIM SPA,FENOPROFEN CALCIUM,FENOPROFEN CALCIUM,6904,InActive,03/04/1987,Gabon,,,,,,,,,
EXCELLA GMBH,BUPIVACAINE (S) HYDROCHLORIDE,Bupivacaine HCL,25090,InActive,27/07/2011,Germany,,,,,,,,,
CIBRAN,LINCOMYCIN HYDROCHLORIDE,LINCOMYCIN HYDROCHLORIDE,13700,InActive,01/09/1998,Gabon,R1-CEP 2005-284 - Rev 00,07/06/2012,Withdrawn by EDQM Failure to CEP procedure,20/12/2013,Chemical,,,,
HARMAN FINOCHEM LTD,SITAGLIPTIN PHOSPHATE USP,Sitagliptin Phosphate,30974,Active,12/10/2016,India,,,,,,WC-0067,14/02/2020,07/07/2022,Sitagliptin Phosphate IH
DR REDDYS LABORATORIES LTD,SITAGLIPTIN PHOSPHATE USP (ANHYDROUS),Sitagliptin Phosphate,33551,Active,31/01/2019,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,SITAGLIPTIN PHOSPHATE USP (MONOHYDRATE),Sitagliptin Phosphate,35580,Active,19/02/2021,India,,,,,,,,,
CHEMAGIS LTD,MUPIROCIN CALCIUM (AMORPHOUS),MUPIROCIN CALCIUM,16541,InActive,15/04/2003,Israel,,,,,,,,,
BLASCHIM SPA,FLUOXYMESTERONE,FLUOXYMESTERONE,3494,InActive,09/04/1979,Gabon,,,,,,,,,
ASPEN OSS BV,ARGININE VASOPRESSIN,ARGININE VASOPRESSIN,6507,InActive,22/07/1986,Netherlands,,,,,,,,,
ADAMHA NIDA,PILOT PLANT SCALE SYNTHESIS AND PURIFICATION OF CANNABIDIOL,CANNABIDIOL,4737,InActive,13/12/1982,Gabon,,,,,,,,,
VEREIN FUR KREBSFORSCHUNG,CANNADOR,Sativex,13926,InActive,21/12/1998,Gabon,,,,,,,,,
SEPPIC SA,INTERMEDIATE FOR MONTANIDE ISA 50,MONTANIDE ISA 206,8950,InActive,22/01/1991,Gabon,,,,,,,,,
SEPPIC SA,MONTANIDE ISA 740,MONTANIDE ISA 740,9558,InActive,21/02/1992,Gabon,,,,,,,,,
SEPPIC SA,MONTANIDE ISA 206,MONTANIDE ISA 206,9559,InActive,21/02/1992,Gabon,,,,,,,,,
SEPPIC SA,MONTANIDE ISA 25,Mannide Monooleate,9560,InActive,21/02/1992,Gabon,,,,,,,,,
SEPPIC SA,MONTANIDE ISA 720,MONTANIDE ISA 720,9561,InActive,21/02/1992,Gabon,,,,,,,,,
FARMABOIS,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,4957,InActive,17/05/1983,Italy,,,,,,,,,
QUATRUM,TRIAMCINOLONE ACETONIDE,TRIAMCINOLONE ACETONIDE,6497,InActive,29/07/1986,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,AMLODIPINE MALEATE,Amlodipine Maleate,15746,InActive,03/12/2001,India,,,,,,,,,
HEXAGON LABORATORIES INC,DEXBROMPHENIRAMINE MATEATE USP XX,DEXBROMPHENIRAMINE MALEATE,5354,InActive,28/03/1984,Gabon,,,,,,,,,
HOUBA INC,DEXBROMPHENIRAMINE MALEATE,DEXBROMPHENIRAMINE MALEATE,5517,InActive,14/08/1984,Gabon,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),ACEPROMAZINE MALEATE,ACEPROMAZINE MALEATE,5933,InActive,26/07/1985,Gabon,,,,,,,,,
ASTA WERKE AKTIENGESELLSCHAFT,CORMELIAN COATED TABLETS,CORMELIAN,4891,InActive,30/03/1983,Germany,,,,,,,,,
HEXAGON LABORATORIES INC,AMANTIDINE HYDROCHLORIDE,amantidine hydrochloride,6589,InActive,18/09/1986,Gabon,,,,,,,,,
JOHNSON MATTHEY PHARMA SERVICES,EPOPROSTENOL SODIUM,Epoprostenol Sodium,18019,InActive,18/01/2005,U.S.A,,,,,,,,,
ICI AMERICAS INC,METHYLENE CHLORIDE,METHYLENE CHLORIDE,6580,InActive,24/12/1985,Gabon,,,,,,,,,
CHONGQING BIOCARE PHARMACEUTICAL CO LTD,RIFABUTIN USP,RIFABUTIN,22787,InActive,14/05/2009,China,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-ARGININE,L-ARGININE,3914,InActive,05/08/1980,Switzerland,,,,,,,,,
MEDICHEM SA,LIDOCAINE BASE & LIDOCAINE HYDROCHLORIDE,Lidocaine Hydrochloride,5664,InActive,12/01/1985,Spain,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-ISOLEUCINE,L-ISOLEUCINE,4019,InActive,19/11/1980,Switzerland,,,,,,,,,
CALBIOCHEM BEHRING CORP,L-TRYPTOPHAN,L-TRYPTOPHAN,1676,InActive,05/03/1971,Gabon,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-TRYTOPHAN,L-TRYTOPHAN,4035,InActive,06/01/1981,Switzerland,,,,,,,,,
NORAMCO DELAWARE INC,TRAMADOL HYDROCHLORIDE,Tramadol Hydrochloride,9807,InActive,07/08/1992,U.S.A,R1-CEP 2003-137 - Rev 00,21/10/2011,Withdrawn by Holder,14/05/2019,Chemical,,,,
EXCELLA GMBH,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,12869,InActive,18/02/1998,Germany,R0-CEP 2003-011 - Rev 02,28/06/2005,Expired,19/11/2008,Chemical,,,,
EVONIK TECHNOCHEMIE GMBH,TRAMADOL HYDROCHLORIDE,TRAMADOL HYDROCHLORIDE,14541,InActive,22/11/1999,Germany,,,,,,,,,
SANOFI AVENTIS DEUTSCHLAND GMBH,FEXOFENADINE HYDROCHLORIDE (MDL 16455 A),Fexofenadine Hydrochloride,23360,InActive,10/12/2009,Germany,,,,,,WC-0043A4,05/02/2021,04/06/2022,Fexofenadine Hydrochloride EP/USP
MEDICHEM SA,DOXAZOSIN MESYLATE,Doxazosin,14366,InActive,19/08/1999,Spain,R1-CEP 2008-164 - Rev 05,15/05/2023,Valid,,Chemical,,,,
CHONGQING BIOCARE PHARMACEUTICAL CO LTD,DOXAZOSIN MESYLATE USP,DOXAZOSIN MESYLATE,20664,InActive,30/06/2007,China,R1-CEP 2007-244 - Rev 00,28/08/2014,Withdrawn by Holder,07/06/2017,Chemical,,,,
FERMION OY,VERAPAMIL HCL BP 80 ADD. 82,VERAPAMIL HCL,5031,InActive,30/06/1983,Finland,,,,,,,,,
FINE CHEMICALS CORP,VERAPAMIL HYDROCHLORIDE,VERAPAMIL HYDROCHLORIDE,5141,InActive,15/11/1983,South Africa,,,,,,,,,
MEDICHEM SA,METOPROLOL SUCCINATE,Metoprolol Succinate,17019,Active,10/12/2003,Spain,R0-CEP 2011-312 - Rev 00,03/04/2014,Withdrawn by Holder,31/07/2015,Chemical,,,,
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,METOPROLOL SUCCINATE,METOPROLOL SUCCINATE,19743,InActive,08/09/2006,Poland,,,,,,,,,
BLASCHIM SPA,TRAZODONE HYDROCHLORIDE,TRAZODONE HYDROCHLORIDE,7287,InActive,06/01/1988,Italy,,,,,,,,,
ZACH SYSTEM SA,VENLAFAXINE HYDROCHLORIDE,Venlafaxine Hydrochloride,12346,InActive,29/01/1997,Gabon,,,,,,,,,
MEDICHEM SA,VENLAFAXINE HCL,Venlafaxine HCl,16084,InActive,05/08/2002,Spain,,,,,,,,,
PCAS,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,18246,InActive,29/03/2005,France,,,,,,,,,
DR REDDYS LABORATORIES LTD,VENLAFAXINE HYDROCHLORIDE USP,VENLAFAXINE HYDROCHLORIDE,18347,Active,11/05/2005,India,,,,,,,,,
PHARMATHEN INDUSTRIAL SA,VENLAFAXINE HYDROCHLORIDE,Venlafaxine Hydrochloride,21371,InActive,22/02/2008,Israel,,,,,,,,,
NOVUS FINE CHEMICALS LLC,VENLAFAXINE HYDROCHLORIDE,Venlafaxine Hydrochloride,22022,InActive,19/09/2008,India,,,,,,,,,
ANTIBIOTICOS,CEPHALEXIN MONOHYDRATE,Cephalexin Monohydrate,13564,InActive,01/09/1998,Spain,,,,,,,,,
PCAS,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,7756,InActive,28/10/1988,France,R1-CEP 1998-135 - Rev 02,29/06/2009,Withdrawn by Holder,20/07/2009,Chemical,,,,
DR REDDYS LABORATORIES LTD,DILTIAZEM HYDROCHLORIDE,Diltiazem Hydrochloride,11504,InActive,11/05/1995,India,R0-CEP 1997-081 - Rev 01,17/12/2002,Withdrawn by Holder,06/11/2003,Chemical,,,,
ORION CORP FERMION,DILTIAZEM HCL PROCESS II,DILTIAZEM HCL,12071,InActive,02/08/1996,Finland,,,,,,,,,
FARMAK AS,DILTIAZEM HYDROCHLORIDE,DILTIAZEM HYDROCHLORIDE,15418,InActive,04/05/2001,Czech Republic,,,,,,,,,
ROUSSEL CORP,MATHAQUALONE,MATHAQUALONE,1128,InActive,16/01/1968,France,,,,,,,,,
PHARMACEUTICAL WORKS POLPHARMA SA,BUPROPION HYDROCHLORIDE,BUPROPION HYDROCHLORIDE,18127,InActive,03/03/2005,Poland,,,,,,,,,
COMPANHIA INDUSTRIAL PRODUTORA DE ANTIBIOTICOS SARL,AMOXICILLIN TRIHYDRATE,AMOXYCILLIN TRIHYDRATE,13586,InActive,01/09/1998,Portugal,R2-CEP 1995-014 - Rev 01,21/02/2006,Withdrawn by Holder,23/05/2011,Chemical,,,,
CHEMICAL PHARMACEUTICAL RESEARCH INSTITUTE NIHFI LTD,PROPANOLOL HYDROCHLORIDE,Propranolol hydrochloride,10675,InActive,15/12/1993,Gabon,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-THREONINE (PYROGEN FREE),L-THREONINE,3973,InActive,22/05/1980,Switzerland,R1-CEP 1998-084 - Rev 03,06/05/2008,Withdrawn by Holder,24/02/2014,Chemical,,,,
DEGUSSA AG WERK RADEBEUL,"L-VALINE, PYROGEN FREE",L-VALINE,3981,InActive,22/05/1980,Switzerland,,,,,,,,,
VINDHYA PHARMA INDIA PVT LTD,N-METHYL FLUOXETINE OXALATE(NON-STERILE DRUG SUBSTANCE INTERMEDIATE),Fluoxetine Hydrochloride,24899,Active,05/04/2011,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,SILDENAFIL CITRATE,Sildenafil Citrate,22037,InActive,25/09/2008,India,,,,,,WC-0067,14/02/2020,07/07/2022,Sildenifil Citrate (Ph. Eur./ USP)
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,SILDENAFIL BASE,Sildenafil,28319,InActive,19/05/2014,Poland,,,,,,,,,
FARMABOIS,MEDROXYPROGESTERONE ACETATE USPXX,MEDROXYPROGESTERONE ACETATE,4809,InActive,16/11/1982,Italy,R1-CEP 2002-191 - Rev 03,03/07/2023,Valid,,Chemical,,,,
FINE CHEMICALS CORP,MEDROXYPROGESTERONE ACETATE,MEDROXYPROGESTERONE ACETATE,5486,InActive,17/07/1984,South Africa,R1-CEP 1996-075 - Rev 03,19/02/2007,Withdrawn by Holder,28/10/2011,Chemical,,,,
CHEMWERTH INC,DAUNORUBICIN HYDROCHLORIDE (TECHNICAL GRADE),DAUNORUBICIN HYDROCHLORIDE,17218,InActive,04/03/2004,U.S.A,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-HISTIDINE,L-HISTIDINE,3920,InActive,05/08/1980,Switzerland,,,,,,,,,
HEXAGON LABORATORIES INC,BENZPHETAMINE HYDROCHLORIDE,BENZPHETAMINE HYDROCHLORIDE,6962,InActive,08/05/1987,Gabon,,,,,,,,,
PCR INC,5-TRIFLUOROMETHYL-2-DEOXYURIDINE,5-TRIFLUOROMETHYL-2-DEOXYURIDINE,3214,InActive,17/05/1978,Gabon,,,,,,,,,
ORCHIMIE SA (PRODUITS CHIMIQUES ET BIOCHIMIQUES),CYTARABINE,CYTARABINE,6668,InActive,07/11/1986,Gabon,,,,,,,,,
BIOCHEMIC GESELLSCHAFT MBH,AMPICILLIN ANHYDRATE,AMPICILLIN ANHYDRATE,8448,InActive,27/02/1990,Gabon,,,,,,,,,
CONSOLIDATED PHARMACEUTICAL GROUP INC,AMPICILLIN,AMPICILLIN,13645,InActive,01/09/1998,Gabon,,,,,,,,,
PRO CHIM RE SPA,AMPICILLIN,AMPICILLIN,13679,InActive,01/09/1998,Gabon,,,,,,,,,
DELMAR CHEMICALS INC,CHLORPROMAZINE HCL,CHLORPROMAZINE HYDROCHLORIDE,1751,InActive,29/06/1971,Canada,,,,,,,,,
PCR INC,CHLORPROMAZINE HCL,CHLORPROMAZINE HYDROCHLORIDE,1779,InActive,17/08/1971,Gabon,,,,,,,,,
PHENCHEM INDUSTRIES LTD,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,2104,InActive,16/05/1973,Gabon,,,,,,,,,
HEXAGON LABORATORIES INC,CHLORPROMAZINE HCl USP,CHLORPROMAZINE HYDROCHLORIDE,6587,InActive,19/09/1986,U.S.A,,,,,,,,,
ZAKLADY FARMACEUTYCZNE POLPHARMA SA,CHLORPROMAZINE HYDROCHLORIDE,Chlorpromazine Hydrochloride,33203,InActive,03/12/2018,Poland,,,,,,,,,
BLASCHIM SPA,TRIAMCINOLONE DIACETATE,TRIAMCINOLONE DIACETATE,2851,InActive,26/01/1977,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,418,InActive,03/01/1961,India,,,,,,,,,
FERMION OY,ACETONIDE HYDROLYSATE CODE 2543,"Acetonide, Fluocinolone",4023,InActive,09/01/1981,Finland,,,,,,,,,
QUATRUM,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,7386,InActive,18/03/1988,Gabon,,,,,,,,,
FARMABOIS,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,7458,InActive,23/04/1988,Italy,,,,,,,,,
ALCHEM INTERNATIONAL LTD,COLCHICINE USP,COLCHICINE,17003,InActive,01/12/2003,India,,,,,,,,,
ALKALOIDS CORP,COLCHICINE USP,COLCHICINE,18032,InActive,25/01/2005,India,,,,,,,,,
JOHNSON MATTHEY INC,GALLIUM NITRATE,GALLIUM NITRATE,7527,InActive,14/06/1988,United Kingdom,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-PHENYLALANINE,L-PHENYLALANINE,4024,InActive,06/01/1981,Switzerland,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-METHIONINE,L-METHIONINE,4029,InActive,06/01/1981,Switzerland,,,,,,,,,
DELMAR CHEMICALS INC,"N-[,3-5-DI(PYROLIDNYLMETHYL)-4-HYDROXY]BENZOYL ANILINE(A.CC.-9358)",ANILIN,6171,InActive,14/01/1986,Canada,,,,,,,,,
PHARM ECO LABORATORIES INC,"AMPALEX TM, PRE-CLINICAL STUDIES , BY CORTEX PHARMACEUTICALS, INC. IN IRVINE, CALIFORNIA",AMINOBENZENE,11892,InActive,14/03/1996,U.S.A,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-LEUCINE,L-LEUCINE,4009,InActive,12/11/1980,Switzerland,,,,,,,,,
DELMAR CHEMICALS INC,"BRETYLIUM TOSYLATE, BULK FORM",BRETYLIUM TOSYLATE,3361,InActive,20/11/1978,Canada,,,,,,,,,
NORAMCO DELAWARE INC,CODEINE SULFATE,Codeine Sulfate,10159,InActive,24/03/1993,U.S.A,,,,,,,,,
ADARE PHARMACEUTICALS INC,"EMTRICITABINE RAPIDLY DISINTEGRATING TABLETS, 40 MG",Emtricitabine,26161,InActive,11/06/2012,U.S.A,,,,,,,,,
ADARE PHARMACEUTICALS INC,"EMTRICITABINE AND TENOFOVIR RAPIDLY DISINTEGRATING TABLETS, 40 MG/40 MG",Emtricitabine,26162,InActive,11/06/2012,U.S.A,,,,,,,,,
DR REDDYS LABORATORIES LTD,ZOLMITRIPTAN,Zolmitriptan,20194,InActive,19/01/2007,India,,,,,,,,,
DSM SINOCHEM PHARMACEUTICALS NETHERLANDS BV,ATORVASTATIN CALCIUM CRYSTALLINE AND MICRONIZED,Atorvastatin Calcium,23052,InActive,19/08/2009,Netherlands,R0-CEP 2020-092 - Rev 02,02/06/2023,Valid,,Chemical,,,,
DR REDDYS LABORATORIES LTD,ARIPIPRAZOLE,Aripiprazole,18471,InActive,30/06/2005,India,,,,,,,,,
VALDEPHARM,STERILE ARIPIPRAZOLE MONOHYDRATE,Aripiprazole,25347,Active,16/09/2011,France,,,,,,,,,
DR REDDYS LABORATORIES LTD,VALACYCLOVIR HYDROCHLORIDE,Valacyclovir Hydrochloride,20982,InActive,29/10/2007,India,,,,,,,,,
DR REDDYS LABORATORIES LTD,TOPOTECAN HYDROCHLORIDE,Topotecan Hydrochloride,19834,InActive,04/10/2006,India,,,,,,,,,
AVRA LABORATORIES PRIVATE LTD,10-HYDROXYCAMPTOTHECIN,Topotecan,26025,InActive,20/04/2012,India,,,,,,,,,
FINORGA SAS,LEVOBETAXOLOL HYDROCHLORIDE,LEVOBETAXOLOL HYDROCHLORIDE,13279,InActive,19/10/1998,France,,,,,,,,,
ALLERGAN OPTICAL INC DIV ALLERGAN INC,MIOGAN (ACETYLCHOLINE CHLORIDE FOR OPTHALMIC SOLUTION),ACETYLCHOLINE CHLORIDE,7243,InActive,04/12/1987,Ireland,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-TYROSINE,L-TYROSINE,3928,InActive,05/08/1980,Switzerland,,,,,,,,,
DR REDDYS LABORATORIES LTD,PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,16675,InActive,02/07/2003,India,,,,,,WC-0067,14/02/2020,07/07/2022,Pioglitazone HCI (USP)
JOHNSON MATTHEY PHARMACEUTICAL MATERIALS,AMPHETAMINE SULFATES,AMPHETAMINE SULFATE,2604,InActive,19/02/1976,United Kingdom,,,,,,,,,
JOHNSON MATTHEY INC,RAC-AMPHETAMINE ADIPATE,Amphetamine Adipate,15952,InActive,26/04/2002,United Kingdom,,,,,,,,,
JOHNSON MATTHEY INC,D-AMPHETAMINE ADIPATE,D-AMPHETAMINE,15953,InActive,26/04/2002,United Kingdom,,,,,,,,,
FARMAK AS,ZILEUTON,ZILEUTON,27679,InActive,30/10/2013,Czech Republic,,,,,,,,,
FARMAK AS,ZILEUTON USP,Zileuton,32110,InActive,19/09/2017,Czech Republic,,,,,,,,,
FINE CHEMICALS CORP,TOLAZOLINE HYDROCHLORIDE,TOLAZOLINE HYDROCHLORIDE,7298,InActive,01/11/1987,South Africa,,,,,,,,,
DELMAR CHEMICALS INC,LEVODOPA METHYL ESTER HYDROCHLORIDE,LEVODOPA,20522,InActive,08/05/2007,Canada,,,,,,,,,
CALBIOCHEM BEHRING CORP,URIDINE,URIDINE,1815,InActive,20/10/1971,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,EXEMESTANE,Exemestane,22645,InActive,23/03/2009,India,,,,,,,,,
LABORATOIRES DETUDES ET DE RECHERCHES SYNTHELABO,CD271,CD271,7565,InActive,04/07/1988,Gabon,,,,,,,,,
EXCELLA GMBH AND CO KG,ADAPALENE,ADAPALENE,19169,Active,09/02/2006,Germany,,,,,,,,,
PHENCHEM INDUSTRIES LTD,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,1974,InActive,02/08/1972,Gabon,,,,,,,,,
PHARM ECO LABORATORIES INC,D-TUBOCURARINE AS,D-TUBOCURARINE,6238,InActive,11/11/1985,U.S.A,,,,,,,,,
VALDEPHARM,ETHINYL ESTRADIOL,Ethinyl Estradiol,24912,Active,13/02/2012,France,R1-CEP 2011-208 - Rev 01,04/07/2018,Withdrawn by Holder,10/10/2019,Chemical,,,,
CRYSTAL PHARMA SAU,ETHINYL ESTRADIOL,ETHINYL ESTRADIOL,26183,InActive,26/06/2012,Spain,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-LYSINE 50%,L-LYSINE,3884,InActive,03/07/1980,Switzerland,R0-CEP 2000-370 - Rev 01,18/11/2005,Expired,05/08/2007,TSE,,,,
EVONIK CORP,GLYCYL-L-GLUTAMINE MONOHYDRATE,GLUTAMINE,9487,InActive,03/01/1992,Germany,,,,,,,,,
EVONIK DEGUSSA GMBH,GLYCYL-L-GLUTAMINE,GLUTAMINE,9506,InActive,17/01/1992,Germany,,,,,,,,,
EVONIK DEGUSSA GMBH,L-ALANYL-L-GLUTAMINE,GLUTAMINE,9656,InActive,10/04/1992,Germany,,,,,,,,,
DEGUSSA AG WERK RADEBEUL,L-SERINE (PYROGEN FREE),L-SERINE,3977,InActive,22/05/1980,Switzerland,R1-CEP 1997-052 - Rev 03,06/05/2008,Withdrawn by Holder,24/02/2014,Chemical,,,,
DEGUSSA AG WERK RADEBEUL,L-ALANINE (PYROGEN FREE),L-ALANINE,3987,InActive,05/11/1980,Switzerland,R1-CEP 2007-166 - Rev 00,22/11/2013,Withdrawn by Holder,08/04/2014,Chemical,,,,
PCR INC,PROMAZINE HYDROCHLORIDE,PROMAZINE HYDROCHLORIDE,2282,InActive,30/05/1974,Gabon,,,,,,,,,
HOUBA INC,"ETIOCHOLANOLONE (3,-ALPHA-HYDROXY-5,-BETA-ANDROSTAN-17-ONE)CULVER,IND",Androsterone,5277,InActive,21/02/1984,Gabon,,,,,,,,,
AMRI ITALY SRL,OXANDROLONE USP,OXANDROLONE,16849,InActive,16/09/2003,Italy,,,,,,,,,
JOHNSON MATTHEY INC PHARMACEUTICAL MATERIALS,OXANDROLONE,OXANDROLONE,19466,InActive,26/05/2006,United Kingdom,,,,,,,,,
BLASCHIM SPA,METHYPREDNISOLONE ACETATE,METHYPREDNISOLONE ACETATE,2953,InActive,11/05/1977,Gabon,,,,,,,,,
QUATRUM,METHYLPREDNISOLONE ACETATE,METHYLPREDNISOLONE ACETATE,6888,InActive,13/03/1987,Gabon,,,,,,,,,
ROUSSEL CORP,PREDNISONE,PREDNISONE,260,InActive,09/07/1957,France,,,,,,,,,
EVONIK TECHNOCHEMIE GMBH,D-PENICILLAMINE,PENICILLAMINE,19099,InActive,10/01/2006,Germany,,,,,,,,,
PCR INC,FLOXURIDINE,FLOXURIDINE,7798,InActive,10/01/1989,Gabon,,,,,,,,,
DSM FINE CHEMICALS INC,FLOXURIDINE,FLOXURIDINE,14965,InActive,25/07/2000,South Africa,,,,,,,,,
UNICORN ORGANICS LTD,SORBITOL,SORBITOL,7954,InActive,08/03/1989,Gabon,,,,,,,,,
ISLAND CHEMICAL CO INC,QUINIDINE SULFATE USP XX,Quinidine sulphate,3703,InActive,09/01/1980,Gabon,,,,,,,,,
ELAN CORP PLC,QUINIDINE SULFATE SUSTAINED ACTION PELLETS,Quinidine sulphate,6125,InActive,29/11/1985,Gabon,,,,,,,,,
DR REDDYS LABORATORIES LTD,ESTRADIOL,Estradiol,6946,InActive,15/04/1987,India,,,,,,,,,
FARMABOIS,6-ALPHA-METHYL-PREDNISOLONE N.F.,PREDNISOLONE,2721,InActive,27/03/1976,Italy,R1-CEP 1999-086 - Rev 03,16/05/2014,Withdrawn by Holder,20/12/2016,Chemical and TSE,,,,
ROUSSEL CORP,"HYDROCORTISONE,FREE ALCOHOL",HYDROCORTISONE,161,InActive,11/01/1955,France,,,,,,,,,
NEW DRUG INSTITUTE,HYDROCORTISONE,HYDROCORTISONE,199,InActive,01/01/1940,Gabon,,,,,,,,,
JOHNSON MATTHEY INC,"MEPERIDINE HCI, USP",MEPERIDINE HCI,12944,InActive,09/04/1998,United Kingdom,,,,,,,,,
CHEMWERTH INC,"IMIQUIMOD, NON-STERILE BULK DRUG SUBSTANCE",IMIQUIMOD,20931,InActive,08/10/2007,U.S.A,,,,,,,,,
ROUSSEL CORP,CORTISONE ACETATE,CORTISONE ACETATE,106,InActive,03/02/1953,France,,,,,,,,,
SF DURST AND CO INC,DEXAMETHASONE,DEXAMETHASONE,1095,InActive,02/11/1967,Gabon,R0-CEP 2000-260 - Rev 00,24/10/2001,Withdrawn by Holder,24/10/2006,TSE,,,,
BLASCHIM SPA,DEXAMETHASONE,DEXAMETHASONE,3686,InActive,31/01/1980,Gabon,,,,,,,,,
QUATRUM,DEXAMETHASONE BASE BP/KUSP AS,DEXAMETHASONE,6233,InActive,17/02/1986,Gabon,,,,,,,,,
DSM SINOCHEM PHARMACEUTICALS NETHERLANDS BV,PNEUMOCANDIN B0,Pneumocandin Bo,27353,InActive,29/07/2013,Netherlands,,,,,,,,,
CRYSTAL PHARMA SAU,FINASTERIDE,FINASTERIDE,18551,InActive,28/07/2005,Spain,R1-CEP 2009-195 - Rev 03,12/07/2023,Valid,,Chemical,,,,
DR REDDYS LABORATORIES LTD,FINASTERIDE (FORM I),FINASTERIDE,20521,InActive,10/05/2007,India,R0-CEP 2009-202 - Rev 02,24/10/2012,Withdrawn by Holder,07/09/2015,Chemical,,,,
SANOFI CHIMIE,ZOPICLONE,ZOPICLONE,15744,InActive,03/12/2001,France,,,,,,,,,
EVONIK CORP,GLYCYL-L-TYROSINE DIHYDRATE,GLYCYL-L-TYROSINE DIHYDRATE,9485,InActive,03/01/1992,Germany,,,,,,,,,
DR REDDYS LABORATORIES LTD,ZONISAMIDE,ZONISAMIDE,18103,InActive,18/02/2005,India,,,,,,,,,
ZACH SYSTEM,"1,3 PROPANEDIOL 2 PHENYL","1,3 PROPANEDIOL 2 PHENYL",9179,InActive,11/06/1991,Gabon,,,,,,,,,
ZACH SYSTEM SPA,ZALEPLON,Zaleplon,11747,InActive,13/11/1995,Gabon,,,,,,,,,
MEDICHEM SA,ZALEPLON,Zaleplon,17230,InActive,12/03/2004,Spain,,,,,,,,,
MEDICHEM MANUFACTURING MALTA LTD,ZALEPLON (MED - 201970),Zaleplon,19463,Active,24/05/2006,Spain,,,,,,,,,
FINORGA SAS,TIAPRIDE HYDROCHLORIDE,TIAPRIDE HYDROCHLORIDE,13874,InActive,02/12/1998,France,,,,,,,,,
DELMAR CHEMICALS INC,FAMOTIDINE,FAMOTIDINE,8177,InActive,30/08/1989,Canada,R1-CEP 2009-161 - Rev 01,31/05/2023,Valid,,Chemical,,,,
DR REDDYS LABORATORIES LTD,Famotidine (Form-A) USP,FAMOTIDINE,21042,InActive,12/11/2007,India,,,,,,,,,
EVONIK TECHNOCHEMIE GMBH,GUANABENZ ACETATE,GUANABENZ ACETATE,5739,InActive,13/03/1985,Germany,,,,,,,,,
FINE CHEMICALS CORP,GUANABENZ ACETATE,GUANABENZ ACETATE,8187,InActive,09/08/1989,South Africa,,,,,,,,,
MEDICHEM SA,GUANABENZ ACETATE,Guanabenz Acetate,8291,InActive,24/11/1989,Spain,,,,,,,,,
